name,state,district,university_name,management_type,established_year,is_engineering,website,status
Vellore Institute of Technology - Andhra Pradesh (VIT-AP),Andhra Pradesh,Guntur,VIT-AP University,Private Un-Aided,2017,True,www.vitap.ac.in,approved
"Amrita School of Engineering, Amritapuri",Kerala,Kollam,Amrita Vishwa Vidyapeetham,Private Un-Aided,2002,True,www.amrita.edu,approved
"Amrita School of Engineering, Bengaluru",Karnataka,Bengaluru Urban,Amrita Vishwa Vidyapeetham,Private Un-Aided,2002,True,www.amrita.edu,approved
"Amrita School of Engineering, Coimbatore",Tamil Nadu,Coimbatore,Amrita Vishwa Vidyapeetham,Private Un-Aided,1994,True,www.amrita.edu,approved
"Amrita School of Engineering, Chennai",Tamil Nadu,Thiruvallur,Amrita Vishwa Vidyapeetham,Private Un-Aided,2019,True,www.amrita.edu,approved
"Amrita School of Engineering, Amaravati",Andhra Pradesh,Guntur,Amrita Vishwa Vidyapeetham,Private Un-Aided,2021,True,www.amrita.edu,approved
Guntur Institute of Technology and Science (NIRF Rank #1),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,State Government,1981,True,www.gunturengg1.edu.in,approved
Guntur College of Engineering and Technology (NIRF Rank #2),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,Private Aided,1982,True,www.gunturengg2.edu.in,approved
Guntur Engineering College (NIRF Rank #3),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,Central Government,1983,True,www.gunturengg3.edu.in,approved
Guntur Institute of Engineering and Technology (NIRF Rank #4),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,Private Un-Aided,1984,True,www.gunturengg4.edu.in,approved
Guntur School of Engineering (NIRF Rank #5),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,State Government,1985,True,www.gunturengg5.edu.in,approved
Guntur Technological Institute (NIRF Rank #6),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,Private Aided,1986,True,www.gunturengg6.edu.in,approved
Guntur Academy of Engineering (NIRF Rank #7),Andhra Pradesh,Guntur,Andhra Pradesh Technological University,Central Government,1987,True,www.gunturengg7.edu.in,approved
Krishna Institute of Technology and Science (NIRF Rank #8),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,Private Un-Aided,1988,True,www.krishnaengg8.edu.in,approved
Krishna College of Engineering and Technology (NIRF Rank #9),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,State Government,1989,True,www.krishnaengg9.edu.in,approved
Krishna Engineering College (NIRF Rank #10),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,Private Aided,1990,True,www.krishnaengg10.edu.in,approved
Krishna Institute of Engineering and Technology (NIRF Rank #11),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,Central Government,1991,True,www.krishnaengg11.edu.in,approved
Krishna School of Engineering (NIRF Rank #12),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,Private Un-Aided,1992,True,www.krishnaengg12.edu.in,approved
Krishna Technological Institute (NIRF Rank #13),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,State Government,1993,True,www.krishnaengg13.edu.in,approved
Krishna Academy of Engineering (NIRF Rank #14),Andhra Pradesh,Krishna,Andhra Pradesh Technological University,Private Aided,1994,True,www.krishnaengg14.edu.in,approved
Visakhapatnam Institute of Technology and Science (NIRF Rank #15),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,Central Government,1995,True,www.visakhapatnamengg15.edu.in,approved
Visakhapatnam College of Engineering and Technology (NIRF Rank #16),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,Private Un-Aided,1996,True,www.visakhapatnamengg16.edu.in,approved
Visakhapatnam Engineering College (NIRF Rank #17),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,State Government,1997,True,www.visakhapatnamengg17.edu.in,approved
Visakhapatnam Institute of Engineering and Technology (NIRF Rank #18),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,Private Aided,1998,True,www.visakhapatnamengg18.edu.in,approved
Visakhapatnam School of Engineering (NIRF Rank #19),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,Central Government,1999,True,www.visakhapatnamengg19.edu.in,approved
Visakhapatnam Technological Institute (NIRF Rank #20),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,Private Un-Aided,2000,True,www.visakhapatnamengg20.edu.in,approved
Visakhapatnam Academy of Engineering (NIRF Rank #21),Andhra Pradesh,Visakhapatnam,Andhra Pradesh Technological University,State Government,2001,True,www.visakhapatnamengg21.edu.in,approved
Chittoor Institute of Technology and Science (NIRF Rank #22),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Private Aided,2002,True,www.chittoorengg22.edu.in,approved
Chittoor College of Engineering and Technology (NIRF Rank #23),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Central Government,2003,True,www.chittoorengg23.edu.in,approved
Chittoor Engineering College (NIRF Rank #24),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Private Un-Aided,2004,True,www.chittoorengg24.edu.in,approved
Chittoor Institute of Engineering and Technology (NIRF Rank #25),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,State Government,2005,True,www.chittoorengg25.edu.in,approved
Chittoor School of Engineering (NIRF Rank #26),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Private Aided,2006,True,www.chittoorengg26.edu.in,approved
Chittoor Technological Institute (NIRF Rank #27),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Central Government,2007,True,www.chittoorengg27.edu.in,approved
Chittoor Academy of Engineering (NIRF Rank #28),Andhra Pradesh,Chittoor,Andhra Pradesh Technological University,Private Un-Aided,2008,True,www.chittoorengg28.edu.in,approved
Anantapur Institute of Technology and Science (NIRF Rank #29),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,State Government,2009,True,www.anantapurengg29.edu.in,approved
Anantapur College of Engineering and Technology (NIRF Rank #30),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,Private Aided,2010,True,www.anantapurengg30.edu.in,approved
Anantapur Engineering College (NIRF Rank #31),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,Central Government,2011,True,www.anantapurengg31.edu.in,approved
Anantapur Institute of Engineering and Technology (NIRF Rank #32),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,Private Un-Aided,2012,True,www.anantapurengg32.edu.in,approved
Anantapur School of Engineering (NIRF Rank #33),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,State Government,2013,True,www.anantapurengg33.edu.in,approved
Anantapur Technological Institute (NIRF Rank #34),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,Private Aided,2014,True,www.anantapurengg34.edu.in,approved
Anantapur Academy of Engineering (NIRF Rank #35),Andhra Pradesh,Anantapur,Andhra Pradesh Technological University,Central Government,2015,True,www.anantapurengg35.edu.in,approved
East Godavari Institute of Technology and Science (NIRF Rank #36),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,Private Un-Aided,2016,True,www.eastgodavariengg36.edu.in,approved
East Godavari College of Engineering and Technology (NIRF Rank #37),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,State Government,2017,True,www.eastgodavariengg37.edu.in,approved
East Godavari Engineering College (NIRF Rank #38),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,Private Aided,2018,True,www.eastgodavariengg38.edu.in,approved
East Godavari Institute of Engineering and Technology (NIRF Rank #39),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,Central Government,2019,True,www.eastgodavariengg39.edu.in,approved
East Godavari School of Engineering (NIRF Rank #40),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,Private Un-Aided,1980,True,www.eastgodavariengg40.edu.in,approved
East Godavari Technological Institute (NIRF Rank #41),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,State Government,1981,True,www.eastgodavariengg41.edu.in,approved
East Godavari Academy of Engineering (NIRF Rank #42),Andhra Pradesh,East Godavari,Andhra Pradesh Technological University,Private Aided,1982,True,www.eastgodavariengg42.edu.in,approved
Hyderabad Institute of Technology and Science (NIRF Rank #43),Telangana,Hyderabad,Telangana Technological University,Central Government,1983,True,www.hyderabadengg43.edu.in,approved
Hyderabad College of Engineering and Technology (NIRF Rank #44),Telangana,Hyderabad,Telangana Technological University,Private Un-Aided,1984,True,www.hyderabadengg44.edu.in,approved
Hyderabad Engineering College (NIRF Rank #45),Telangana,Hyderabad,Telangana Technological University,State Government,1985,True,www.hyderabadengg45.edu.in,approved
Hyderabad Institute of Engineering and Technology (NIRF Rank #46),Telangana,Hyderabad,Telangana Technological University,Private Aided,1986,True,www.hyderabadengg46.edu.in,approved
Hyderabad School of Engineering (NIRF Rank #47),Telangana,Hyderabad,Telangana Technological University,Central Government,1987,True,www.hyderabadengg47.edu.in,approved
Hyderabad Technological Institute (NIRF Rank #48),Telangana,Hyderabad,Telangana Technological University,Private Un-Aided,1988,True,www.hyderabadengg48.edu.in,approved
Hyderabad Academy of Engineering (NIRF Rank #49),Telangana,Hyderabad,Telangana Technological University,State Government,1989,True,www.hyderabadengg49.edu.in,approved
Rangareddy Institute of Technology and Science (NIRF Rank #50),Telangana,Rangareddy,Telangana Technological University,Private Aided,1990,True,www.rangareddyengg50.edu.in,approved
Rangareddy College of Engineering and Technology (NIRF Rank #51),Telangana,Rangareddy,Telangana Technological University,Central Government,1991,True,www.rangareddyengg51.edu.in,approved
Rangareddy Engineering College (NIRF Rank #52),Telangana,Rangareddy,Telangana Technological University,Private Un-Aided,1992,True,www.rangareddyengg52.edu.in,approved
Rangareddy Institute of Engineering and Technology (NIRF Rank #53),Telangana,Rangareddy,Telangana Technological University,State Government,1993,True,www.rangareddyengg53.edu.in,approved
Rangareddy School of Engineering (NIRF Rank #54),Telangana,Rangareddy,Telangana Technological University,Private Aided,1994,True,www.rangareddyengg54.edu.in,approved
Rangareddy Technological Institute (NIRF Rank #55),Telangana,Rangareddy,Telangana Technological University,Central Government,1995,True,www.rangareddyengg55.edu.in,approved
Rangareddy Academy of Engineering (NIRF Rank #56),Telangana,Rangareddy,Telangana Technological University,Private Un-Aided,1996,True,www.rangareddyengg56.edu.in,approved
Warangal Institute of Technology and Science (NIRF Rank #57),Telangana,Warangal,Telangana Technological University,State Government,1997,True,www.warangalengg57.edu.in,approved
Warangal College of Engineering and Technology (NIRF Rank #58),Telangana,Warangal,Telangana Technological University,Private Aided,1998,True,www.warangalengg58.edu.in,approved
Warangal Engineering College (NIRF Rank #59),Telangana,Warangal,Telangana Technological University,Central Government,1999,True,www.warangalengg59.edu.in,approved
